i2,i3,i4,i5,i6,i7,i8,i9,i11,o12,o13,o15,o16,o18
0,0,0,0,0,0,0,0,0,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,1,0,1,1,0,0,0
0,0,0,0,0,0,0,1,1,1,1,0,1,1
0,0,0,0,0,0,1,0,0,1,1,1,1,1
0,0,0,0,0,0,1,0,1,1,1,1,1,1
0,0,0,0,0,0,1,1,0,1,1,0,0,0
0,0,0,0,0,0,1,1,1,1,1,0,1,0
0,0,0,0,0,1,0,0,0,1,1,1,1,1
0,0,0,0,0,1,0,0,1,1,1,1,1,1
0,0,0,0,0,1,0,1,0,1,1,0,0,0
0,0,0,0,0,1,0,1,1,1,1,0,0,1
0,0,0,0,0,1,1,0,0,1,1,1,1,1
0,0,0,0,0,1,1,0,1,1,1,1,1,1
0,0,0,0,0,1,1,1,0,1,1,0,0,0
0,0,0,0,0,1,1,1,1,1,1,0,0,0
0,0,0,0,1,0,0,0,0,1,1,1,1,1
0,0,0,0,1,0,0,0,1,1,1,1,1,1
0,0,0,0,1,0,0,1,0,1,1,0,0,0
0,0,0,0,1,0,0,1,1,1,1,0,1,1
0,0,0,0,1,0,1,0,0,1,1,1,1,1
0,0,0,0,1,0,1,0,1,1,1,1,1,1
0,0,0,0,1,0,1,1,0,1,1,0,0,0
0,0,0,0,1,0,1,1,1,1,1,0,1,0
0,0,0,0,1,1,0,0,0,1,1,1,1,1
0,0,0,0,1,1,0,0,1,1,1,1,1,1
0,0,0,0,1,1,0,1,0,1,1,0,0,0
0,0,0,0,1,1,0,1,1,1,1,0,0,1
0,0,0,0,1,1,1,0,0,1,1,1,1,1
0,0,0,0,1,1,1,0,1,1,1,1,1,1
0,0,0,0,1,1,1,1,0,1,1,0,0,0
0,0,0,0,1,1,1,1,1,1,1,0,0,0
0,0,0,1,0,0,0,0,0,1,1,1,1,0
0,0,0,1,0,0,0,0,1,1,1,1,1,1
0,0,0,1,0,0,0,1,0,1,1,0,0,0
0,0,0,1,0,0,0,1,1,1,1,0,1,1
0,0,0,1,0,0,1,0,0,1,1,1,1,0
0,0,0,1,0,0,1,0,1,1,1,1,1,0
0,0,0,1,0,0,1,1,0,1,1,0,0,0
0,0,0,1,0,0,1,1,1,1,1,0,1,0
0,0,0,1,0,1,0,0,0,1,1,1,1,0
0,0,0,1,0,1,0,0,1,1,1,1,1,1
0,0,0,1,0,1,0,1,0,1,1,0,0,0
0,0,0,1,0,1,0,1,1,1,1,0,0,1
0,0,0,1,0,1,1,0,0,1,1,1,1,0
0,0,0,1,0,1,1,0,1,1,1,1,1,0
0,0,0,1,0,1,1,1,0,1,1,0,0,0
0,0,0,1,0,1,1,1,1,1,1,0,0,0
0,0,0,1,1,0,0,0,0,1,1,1,1,0
0,0,0,1,1,0,0,0,1,1,1,1,1,1
0,0,0,1,1,0,0,1,0,1,1,0,0,0
0,0,0,1,1,0,0,1,1,1,1,0,1,1
0,0,0,1,1,0,1,0,0,1,1,1,1,0
0,0,0,1,1,0,1,0,1,1,1,1,1,0
0,0,0,1,1,0,1,1,0,1,1,0,0,0
0,0,0,1,1,0,1,1,1,1,1,0,1,0
0,0,0,1,1,1,0,0,0,1,1,1,1,0
0,0,0,1,1,1,0,0,1,1,1,1,1,1
0,0,0,1,1,1,0,1,0,1,1,0,0,0
0,0,0,1,1,1,0,1,1,1,1,0,0,1
0,0,0,1,1,1,1,0,0,1,1,1,1,0
0,0,0,1,1,1,1,0,1,1,1,1,1,0
0,0,0,1,1,1,1,1,0,1,1,0,0,0
0,0,0,1,1,1,1,1,1,1,1,0,0,0
0,0,1,0,0,0,0,0,0,1,1,1,0,1
0,0,1,0,0,0,0,0,1,1,1,1,1,1
0,0,1,0,0,0,0,1,0,1,1,0,0,0
0,0,1,0,0,0,0,1,1,1,1,0,1,1
0,0,1,0,0,0,1,0,0,1,1,1,0,1
0,0,1,0,0,0,1,0,1,1,1,1,1,1
0,0,1,0,0,0,1,1,0,1,1,0,0,0
0,0,1,0,0,0,1,1,1,1,1,0,1,0
0,0,1,0,0,1,0,0,0,1,1,1,0,1
0,0,1,0,0,1,0,0,1,1,1,1,0,1
0,0,1,0,0,1,0,1,0,1,1,0,0,0
0,0,1,0,0,1,0,1,1,1,1,0,0,1
